gene_id,lfc_DENV,lfc_ZIKV
ENSG00000000003,-0.062191381577665794,0.05663815952310092
ENSG00000000419,-0.6434073529751165,-0.25068468705610947
ENSG00000000457,-0.0048291468764039,0.31678560728380223
ENSG00000000460,-0.7229221232089769,0.3376779343543439
ENSG00000000971,-0.9650113441075163,0.333534166678116
ENSG00000001036,-0.0010030876049800241,-0.21762929710546253
ENSG00000001084,-0.41810371241038435,0.0699253627651486
ENSG00000001167,-0.22133317065628333,-0.07294436227678336
ENSG00000001460,0.3408183534919862,-0.402723762137686
ENSG00000001461,0.9945347691241779,0.3494673441126954
ENSG00000001497,0.3973792241100611,-0.33312245908280325
ENSG00000001561,-0.7148643047129752,-0.5309628564453093
ENSG00000001626,0.0011441141368422336,-0.04115035488004093
ENSG00000001629,0.3957191722432829,0.5449694576137789
ENSG00000001630,0.3141907776328763,-0.3159508634087458
ENSG00000001631,-0.25531602978576773,0.3067572859488479
ENSG00000002016,0.3679827756888705,0.019363133005214195
ENSG00000002330,0.09447343167456879,-1.206761163753968
ENSG00000002549,0.18625926807936644,-0.056882486784530784
ENSG00000002586,0.2721627940827718,-0.7930176848789383
ENSG00000002746,-0.7105608839190296,-1.4276155057991096
ENSG00000002822,0.3784899409262543,-0.07405471672309538
ENSG00000002834,0.5542934996578666,-0.33294665572759996
ENSG00000002919,-0.11958655167091958,0.23451226370847955
ENSG00000002933,0.5422532860162311,-0.05072178625691559
ENSG00000003056,0.11657249483970222,0.09205214856314381
ENSG00000003096,-0.14776792275877226,0.736380819706796
ENSG00000003147,0.5855519338621149,-0.27082425170691815
ENSG00000003249,-0.2940995382236655,0.08461335326890085
ENSG00000003393,-0.24822923649383588,0.013448114901900787
ENSG00000003400,-0.2763932704530385,-0.16921091519231712
ENSG00000003402,0.27173192903720267,-0.3888212155678108
ENSG00000003436,0.19929961988252654,-0.323087897420022
ENSG00000003509,-0.04625110932167065,-0.2441698735139224
ENSG00000003756,0.34244953325329686,0.03630020895017427
ENSG00000003989,-0.6289883128517513,-0.23652884662152074
ENSG00000004059,0.12033940819195443,-0.2933529567726918
ENSG00000004142,0.2145507963833566,-0.07352672826953821
ENSG00000004399,0.3301839571700116,-0.37221344048238625
ENSG00000004455,0.1822713975049135,-0.8152450732843706
ENSG00000004468,0.7869441824389922,-0.10121449011607431
ENSG00000004478,-0.0536017538105229,0.16460084401020936
ENSG00000004487,-0.07298439742300467,0.29041442034452913
ENSG00000004534,0.568231981579606,-0.35925969187623696
ENSG00000004700,-0.25848178258274324,-0.14512734601293698
ENSG00000004766,-0.030296181239530373,0.8084337909070267
