Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TargetScan_microRNA_2017,hsa-miR-4649-5p,1/996,0.5353708178679277,0.7941220494982242,0,0,1.3632447954055995,0.8517494244222619,DUSP1
TargetScan_microRNA_2017,mmu-miR-711,1/999,0.5364702107757081,0.7941220494982242,0,0,1.3589321500143143,0.846267173821085,CREBRF
TargetScan_microRNA_2017,mmu-miR-453,1/1065,0.5600512283731148,0.7941220494982242,0,0,1.2702067669172932,0.7363731840218316,CREBRF
TargetScan_microRNA_2017,hsa-miR-483-5p,1/1085,0.5669728543944955,0.7941220494982242,0,0,1.2454533473906169,0.7067248452383992,CREBRF
TargetScan_microRNA_2017,mmu-miR-1839-3p,1/1086,0.5673162532954344,0.7941220494982242,0,0,1.2442396313364057,0.7052827580396756,DUSP1
TargetScan_microRNA_2017,mmu-miR-875-5p,1/1131,0.5825087598123655,0.7941220494982242,0,0,1.1918457648546144,0.6440866276005416,LPXN
TargetScan_microRNA_2017,mmu-miR-5123,1/1137,0.5844963835319203,0.7941220494982242,0,0,1.1851735412474849,0.6364437446313732,CREBRF
TargetScan_microRNA_2017,hsa-miR-1281,1/1158,0.5913837314309354,0.7941220494982242,0,0,1.162365724163477,0.6105793010684499,TSPYL2
TargetScan_microRNA_2017,hsa-miR-3651,1/1171,0.5955937729655264,0.7941220494982242,0,0,1.1486568986568986,0.5952299079558628,PLA2G4C
TargetScan_microRNA_2017,hsa-miR-3150b-5p,1/1176,0.5972022123260562,0.7941220494982242,0,0,1.1434650455927051,0.5894556693629833,INHBE
TargetScan_microRNA_2017,hsa-miR-3150a-5p,1/1176,0.5972022123260562,0.7941220494982242,0,0,1.1434650455927051,0.5894556693629833,INHBE
TargetScan_microRNA_2017,hsa-miR-4740-3p,1/1184,0.5997633013969796,0.7941220494982242,0,0,1.1352493660185967,0.5803624071198574,PLA2G4C
TargetScan_microRNA_2017,mmu-miR-669c,1/1186,0.6004011946463143,0.7941220494982242,0,0,1.1332127787823991,0.5781166462997862,CREBRF
TargetScan_microRNA_2017,hsa-miR-4747-3p,1/1186,0.6004011946463143,0.7941220494982242,0,0,1.1332127787823991,0.5781166462997862,RND1
TargetScan_microRNA_2017,mmu-miR-463,1/1186,0.6004011946463143,0.7941220494982242,0,0,1.1332127787823991,0.5781166462997862,CD200R1
TargetScan_microRNA_2017,mmu-miR-1897-3p,1/1191,0.6019917786659045,0.7941220494982242,0,0,1.1281512605042017,0.57254972769153,CREBRF
TargetScan_microRNA_2017,hsa-miR-4749-5p,1/1198,0.6042086708826775,0.7941220494982242,0,0,1.1211361737677528,0.5648683830718794,TSPYL2
TargetScan_microRNA_2017,hsa-miR-4706,1/1198,0.6042086708826775,0.7941220494982242,0,0,1.1211361737677528,0.5648683830718794,TSPYL2
TargetScan_microRNA_2017,mmu-miR-5130,1/1198,0.6042086708826775,0.7941220494982242,0,0,1.1211361737677528,0.5648683830718794,RND1
TargetScan_microRNA_2017,hsa-miR-4258,1/1212,0.6086079235561705,0.7941220494982242,0,0,1.1073492981007431,0.5498886464799609,CREBRF
TargetScan_microRNA_2017,mmu-miR-1951,1/1212,0.6086079235561705,0.7941220494982242,0,0,1.1073492981007431,0.5498886464799609,TSPAN1
TargetScan_microRNA_2017,mmu-miR-331-5p,1/1213,0.6089204029746772,0.7941220494982242,0,0,1.1063767090994814,0.5488377726564244,CXCL1
TargetScan_microRNA_2017,mmu-miR-3091-5p,1/1236,0.6160434858852402,0.7941220494982242,0,0,1.084441873915558,0.5253445531781831,PLA2G4C
