Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
miRTarBase_2017,hsa-miR-758-5p,2/63,0.0009986089739441929,0.2157800910380185,0,0,50.24968474148802,347.18247232150554,CREBRF;TSPAN1
miRTarBase_2017,hsa-miR-449b-3p,2/116,0.0033331863204364,0.2157800910380185,0,0,26.81646423751687,152.95646148610297,CREBRF;TSPAN1
miRTarBase_2017,hsa-miR-573,2/123,0.0037381253660131,0.2157800910380185,0,0,25.25619834710744,141.16121218646114,CD200R1;TSPAN1
miRTarBase_2017,hsa-miR-639,1/9,0.0067310464938694,0.2157800910380185,0,0,178.36607142857142,892.013120036697,CREBRF
miRTarBase_2017,hsa-miR-4736,2/171,0.0070928700589526,0.2157800910380185,0,0,18.039144287665,89.26968587265013,CREBRF;TSPAN1
miRTarBase_2017,mmu-miR-582-3p,1/10,0.0074763281564485,0.2157800910380185,0,0,158.53968253968253,776.212425317664,CREBRF
miRTarBase_2017,mmu-miR-877-5p,1/13,0.0097090442156726,0.2157800910380185,0,0,118.88690476190476,551.0048324972125,RND1
miRTarBase_2017,hsa-miR-195-5p,3/639,0.0110855280120328,0.2157800910380185,0,0,7.605738993710692,34.24191011915582,CCL4;SIRT4;CREBRF
miRTarBase_2017,mmu-miR-1197-3p,1/16,0.0119370735063595,0.2157800910380185,0,0,95.0952380952381,421.0918230074216,RND1
miRTarBase_2017,mmu-miR-1929-5p,1/18,0.01341982690512,0.2157800910380185,0,0,83.89915966386555,361.6911269349327,RND1
miRTarBase_2017,hsa-miR-15a-5p,3/716,0.01506880370391,0.2157800910380185,0,0,6.757363253856942,28.3480081990052,TSPYL2;SIRT4;CREBRF
miRTarBase_2017,mmu-miR-467f,2/265,0.016390828475332,0.2157800910380185,0,0,11.536706639368235,47.42778562701504,CD200R1;CREBRF
miRTarBase_2017,mmu-miR-207,1/24,0.0178556385652366,0.2157800910380185,0,0,61.993788819875775,249.55202523941097,CREBRF
miRTarBase_2017,hsa-miR-98-5p,3/785,0.0192549296968238,0.2157800910380185,0,0,6.139066496163683,24.249239991020406,DUSP1;INHBE;BIRC3
miRTarBase_2017,mmu-miR-669j,1/26,0.0193301017548387,0.2157800910380185,0,0,57.02857142857143,225.0399736139121,CD200R1
