Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,term_lower,in_55,in_36
miRTarBase_2017,hsa-miR-199a-5p,1/166,0.1175588033667399,0.2260816279494456,0,0,8.58008658008658,18.3683919207857,RND1,hsa-mir-199a-5p,False,True
miRTarBase_2017,hsa-miR-31-5p,1/224,0.1554969460260422,0.2444421069476768,0,0,6.32991672005125,11.780792760610051,TSPAN1,hsa-mir-31-5p,False,True
miRTarBase_2017,hsa-miR-132-3p,1/255,0.1751444767247103,0.2523006338721599,0,0,5.5486501687289085,9.666547956768492,PLA2G4C,hsa-mir-132-3p,False,True
miRTarBase_2017,hsa-miR-101-3p,1/393,0.257542071752637,0.323379290187861,0,0,3.57015306122449,4.84317034539448,DUSP1,hsa-mir-101-3p,False,True
miRTarBase_2017,hsa-miR-148b-3p,1/403,0.2632038916415626,0.3260139112378445,0,0,3.4795664534470503,4.644616792974492,SIRT4,hsa-mir-148b-3p,False,True
miRTarBase_2017,hsa-miR-26a-5p,1/457,0.2930877499148875,0.3435894248015655,0,0,3.0590538847117794,3.7543255233136,CREBRF,hsa-mir-26a-5p,False,True
miRTarBase_2017,hsa-miR-375,1/475,0.30279495307556,0.3486406678017891,0,0,2.940174804098855,3.5126251480790005,BIRC3,hsa-mir-375,False,True
miRTarBase_2017,hsa-miR-34a-5p,1/735,0.4298374425734613,0.4462122022905456,0,0,1.8733943168548075,1.5817970861613198,BIRC3,hsa-mir-34a-5p,False,True
miRTarBase_2017,hsa-miR-24-3p,1/854,0.4804591836470756,0.4879197299769992,0,0,1.6020767040696702,1.1743430507012975,CCL4,hsa-mir-24-3p,False,True
