gene_id,FC_DENV,padj_DENV,FC_ZIKV,padj_ZIKV,symbol,name
ENSG00000093134,2.197970574187549,0.0179173163798568,2.497732057038498,0.0009892442323326,VNN3P,"vanin 3, pseudogene"
ENSG00000139269,2.1511974764869306,0.0029597630873925,1.725618571246092,0.0274002537245974,INHBE,inhibin subunit beta E
ENSG00000184205,1.83706247520388,1.6815135638070715e-06,1.1135254866469575,0.0261049796772099,TSPYL2,TSPY like 2
ENSG00000110031,1.5818912199982098,0.0369664846956161,1.9352070289234884,0.0430816410636294,LPXN,leupaxin
ENSG00000172602,1.5057224004213687,0.0064850102593212,1.902570271395276,0.0077899536526295,RND1,Rho family GTPase 1
ENSG00000159556,1.095261090261188,0.0487705016631856,1.2161301147202508,0.0492772298381111,ISL2,ISL LIM homeobox 2
