Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label,library
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),15/1922,0.0008882081985874537,0.0279978671293871,0,0,2.8941172693513693,20.33494885914467,ZNF671;BHLHE41;FOS;SIRT1;HDAC9;ZEB2;BHLHE40;CREBRF;ZNF844;HOXA1;ZNF425;HBP1;BMAL1;BEND5;ZNF563,1.5528750518441852,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Neurogenesis (GO:0050767),3/67,0.0012936784043042,0.0390798684633575,0,0,15.270491803278688,101.55282697807904,BHLHE40;BHLHE41;BMAL1,1.4080469067171884,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),3/70,0.0014682127242318,0.0416079466350471,0,0,14.584536334719845,95.14527753653832,CXCL6;CCL4;CXCL1,1.3808237162443624,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Neutrophil Activation (GO:0042119),2/18,0.0014921470517396,0.0416079466350471,0,0,40.16129032258065,261.35117197671207,CXCL6;IL15,1.3808237162443624,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),3/72,0.0015923855011175,0.0427584995670448,0,0,14.160370634354951,91.22850035854256,LPXN;FOS;SIRT1,1.3689775429671396,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),3/73,0.0016568622589987,0.0429008977776458,0,0,13.957377049180328,89.36670789604038,CXCL6;CCL4;CXCL1,1.3675336193351395,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),3/75,0.0017906703303783,0.0445964796353122,0,0,13.568306010928962,85.8217775865402,OCLN;IRS2;SIRT1,1.3506994223483941,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Protein Deacylation (GO:0035601),2/20,0.0018453715711163,0.0445964796353122,0,0,35.69534050179212,224.7048323380627,HDAC9;SIRT1,1.3506994223483941,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),3/77,0.0019310474335392,0.0451615932037404,0,0,13.200265839610102,82.49760520901614,CXCL6;CCL4;CXCL1,1.3452307455028683,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Macrophage Differentiation (GO:0030225),2/21,0.0020354236173618,0.0456553720389686,0,0,33.81494057724957,209.5529220037357,IL15;SIRT1,1.340508113866456,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Response To Insulin (GO:0032868),3/79,0.0020781065893599,0.0456553720389686,0,0,12.851596203623814,79.37528912977683,IRS2;SIRT1;HDAC9,1.340508113866456,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),4/174,0.0023423479793602,0.0499471260304749,0,0,7.751372549019607,46.946974163365766,ZEB2;TYRP1;IRS2;SIRT1,1.3014894961269803,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Myotube Differentiation (GO:0010830),2/23,0.0024421209821295,0.0505867917726845,0,0,30.591397849462364,184.0038429108897,BHLHE41;HDAC9,1.2959628627855637,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cell Cycle (GO:0045786),3/85,0.0025604640021543,0.051564900043386,0,0,11.907636945221912,71.05961873492295,TSPYL2;DUSP1;SIRT1,1.2876458197769538,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),5/298,0.0026418206659601,0.0517654049411102,0,0,5.681436917915196,33.72663985195081,TSPYL2;HBP1;SIRT1;BMAL1;BIRC3,1.285960384318691,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Insulin Secretion (GO:0050796),3/87,0.0027353250610236,0.0521871228747937,0,0,11.62295081967213,68.59290235237039,SIRT4;IRS2;BMAL1,1.282436645548138,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Glucose Import (GO:0046326),2/25,0.0028838973905792,0.0528777157105786,0,0,27.928471248246844,163.34280993179652,OCLN;IRS2,1.2767273144096813,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Peptide Hormone Stimulus (GO:0071375),3/89,0.0029173912116181,0.0528777157105786,0,0,11.3515059092642,66.25948331984446,CYP11A1;IRS2;HDAC9,1.2767273144096813,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Peptidyl-Lysine Modification (GO:0018205),3/94,0.0034047053494091,0.0602051555688196,0,0,10.725094577553596,60.94638896058672,SIRT4;SIRT1;HDAC9,1.2203663170608023,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,"Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043516)",2/28,0.003611350428169,0.0609123362839649,0,0,24.70223325062035,138.9172944423598,PMAIP1;SIRT1,1.2152947428762544,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),3/96,0.0036127316692558,0.0609123362839649,0,0,10.493389740877843,59.00738511459594,LPXN;FOS;SIRT1,1.2152947428762544,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),2/31,0.0044152146158001,0.0727506953739796,0,0,22.14349276974416,120.07749245655845,OCLN;IRS2,1.1381628511992523,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Fat Cell Differentiation (GO:0045599),2/32,0.0046998927307036,0.0757204939946698,0,0,21.40430107526882,114.73166839764195,SIRT1;BMAL1,1.1207865613952541,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Small Molecule Metabolic Process (GO:0062013),2/33,0.0049928416504491,0.078691526012513,0,0,20.71279916753382,109.77265867806396,PMAIP1;IRS2,1.1040720326238047,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),9/1025,0.0051294316279882,0.0791242112827976,0,0,3.047244094488189,16.067388050588022,ZEB2;BHLHE40;BHLHE41;ZNF425;ZNF555;SIRT1;HDAC9;BMAL1;BEND5,1.1016906060391825,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913),2/34,0.0052940072244157,0.0796552603139945,0,0,20.06451612903226,105.16173684365728,PMAIP1;IRS2,1.0987855387591974,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),4/220,0.0054064176436585,0.0796552603139945,0,0,6.08641975308642,31.772137150825703,PMAIP1;FEM1C;SIRT1;BMAL1,1.0987855387591974,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Cellular Senescence (GO:2000772),2/35,0.0056033355531223,0.0796552603139945,0,0,19.455522971652005,100.86508146506247,SIRT1;BMAL1,1.0987855387591974,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:0072332),2/35,0.0056033355531223,0.0796552603139945,0,0,19.455522971652005,100.86508146506247,PMAIP1;SIRT1,1.0987855387591974,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Glucose Import (GO:0046324),2/36,0.0059207729878119,0.080991705965352,0,0,18.88235294117647,96.85303138215218,OCLN;IRS2,1.0915594531943125,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Histone Deacetylation (GO:0016575),2/36,0.0059207729878119,0.080991705965352,0,0,18.88235294117647,96.85303138215218,SIRT4;SIRT1,1.0915594531943125,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),4/231,0.0064109847878799,0.0860734068743142,0,0,5.788252569750367,29.22918434694532,DUSP1;SIRT1;HDAC9;BMAL1,1.0651310068701354,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Tumor Necrosis Factor (GO:0071356),3/119,0.0065725242179706,0.0866378192368859,0,0,8.403052572074618,42.22414019876895,CCL4;SIRT1;BIRC3,1.062292487884425,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Epithelial Cell Migration (GO:0010631),2/46,0.0095295233597873,0.1191190419973414,0,0,14.583577712609973,67.86264560355225,ZEB2;LPXN,0.9240188080105924,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),2/46,0.0095295233597873,0.1191190419973414,0,0,14.583577712609973,67.86264560355225,HDAC9;SIRT1,0.9240188080105924,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),2/46,0.0095295233597873,0.1191190419973414,0,0,14.583577712609973,67.86264560355225,IL15;BMAL1,0.9240188080105924,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),7/763,0.0107807147599614,0.1243135285330652,0,0,3.115659519168291,14.113926441087935,ZEB2;BHLHE40;BHLHE41;ZNF425;ZNF555;SIRT1;HDAC9,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
