symbol,log2FoldChange,pvalue,mean_zikv,mean_mock,padj
LINC00862,1.2002408234236452,2.9278090112506157e-08,1.2905471458833797,0.09030632245973448,0.0004039933920991611
LINC01359,0.9303803704909989,4.855398018137865e-08,1.349702834164439,0.41932246367344017,0.0004039933920991611
PLEKHA1,0.7487028159738527,1.7987971681410724e-07,3.005261630914552,2.2565588149406994,0.0009977927891678528
AP1S3,1.8275001825538033,2.6906399229054234e-07,2.5174650000856245,0.689964817531821,0.0011193734739267287
TNFRSF10D,3.027927051720032,4.233562582595863e-07,4.830367313718673,1.802440261998641,0.0014090142987395551
SAV1,1.301682232502543,6.18818594055684e-07,3.516372142625778,2.214689910123235,0.0014150863624144692
PPIL2,-1.0354585975655275,6.49773653322294e-07,1.3645465280836704,2.400005125649198,0.0014150863624144692
STRN3,0.6050452168176141,7.02959908643286e-07,3.0063111668904634,2.4012659500728493,0.0014150863624144692
ISG20,2.1418806961085735,9.247768786133959e-07,2.806910423124453,0.6650297270158796,0.0014150863624144692
IKBKB,-0.719458394002805,9.349256948453832e-07,2.6088675763592653,3.3283259703620702,0.0014150863624144692
RP11-336K24.12,1.0783279739995115,9.425240235320943e-07,1.5906205336594574,0.5122925596599458,0.0014150863624144692
PIWIL4,1.7726267553054393,1.0204336487575044e-06,2.645297587390163,0.8726708320847235,0.0014150863624144692
ITGA4,-1.0588740225075006,1.1323275395592872e-06,0.4240327601144943,1.482906782621995,0.0014494663527543153
DCAF16,-0.7427669255062328,1.4334332517657666e-06,1.5165900097317244,2.259356935237957,0.001575209096343738
ATXN7L3B,-0.9935023578442763,1.5190968089637342e-06,1.4790376401032335,2.47253999794751,0.001575209096343738
TNFAIP6,2.741051912551471,1.52567518495964e-06,6.108209775376493,3.3671578628250223,0.001575209096343738
AKIRIN1,0.8013728559394391,1.6837358993223898e-06,4.286344598755444,3.484971742816005,0.001575209096343738
SPATA12,-1.1599006349140157,1.7572831995220195e-06,0.4810091624165895,1.6409097973306053,0.001575209096343738
TOR1AIP2,0.764656621766926,1.8200674861427682e-06,3.0801864784364525,2.3155298566695266,0.001575209096343738
OGT,-0.8702852466376516,1.893166391855944e-06,3.4111492931290757,4.281434539766727,0.001575209096343738
DNAJB9,1.2316038460369003,2.051569393754102e-06,3.949378118030753,2.7177742719938527,0.0015867783576452668
SGK1,-1.9566946080851704,2.0977780102275026e-06,5.538487945513262,7.495182553598433,0.0015867783576452668
RP11-498C9.3,0.9663083937492236,2.41988701170155e-06,1.1095690901671558,0.1432606964179322,0.0016077321736035638
APOBR,-1.3894519391733526,2.513108725025668e-06,1.7346447128397227,3.1240966520130753,0.0016077321736035638
SPAG9,0.5194410058019621,2.5156472379964096e-06,4.443102606138219,3.923661600336257,0.0016077321736035638
CUL1,1.0508051914482412,2.5551669189099207e-06,4.246768367583605,3.1959631761353635,0.0016077321736035638
CD300C,-1.635675989417282,2.7065115702296028e-06,0.7467016485889115,2.3823776380061936,0.0016077321736035638
FAM219B,-1.0893820123754863,2.8611349976812858e-06,1.9023220553480484,2.9917040677235347,0.0016077321736035638
HERC5,2.306987957260243,2.917784182693948e-06,4.2788422374885196,1.9718542802282766,0.0016077321736035638
SMIM7,-1.0375626186489715,2.9853135762854392e-06,2.014042676899556,3.0516052955485273,0.0016077321736035638
N4BP2L1,1.401357738037631,3.1816829648368355e-06,3.757504672986375,2.356146934948744,0.0016077321736035638
CPT1B,0.7870511409758911,3.2740641124901402e-06,2.4607024106998043,1.6736512697239132,0.0016077321736035638
DNAJB6,1.7142693336691757,3.332544025218746e-06,4.868415291378764,3.1541459577095887,0.0016077321736035638
ADAM15,-0.5751670728603397,3.453261656919641e-06,1.9662984931775263,2.541465566037866,0.0016077321736035638
TMEM39A,0.8774102653605376,3.4567643611622634e-06,2.68383561790381,1.8064253525432725,0.0016077321736035638
AC009133.12,1.5865411025279261,3.495323496984264e-06,2.430433548250454,0.843892445722528,0.0016077321736035638
MBOAT1,-1.009698983829928,3.70566157826582e-06,0.9074552268778392,1.9171542107077673,0.0016077321736035638
ZKSCAN5,0.5165012640617295,3.7212609942427186e-06,2.1671153845154727,1.6506141204537432,0.0016077321736035638
EPG5,1.011616280737976,3.767895845834925e-06,4.516777017214443,3.5051607364764665,0.0016077321736035638
M1AP,-0.6488457014265209,4.229316908241974e-06,0.3272764244923647,0.9761221259188856,0.0017483358595470732
GLIPR1,-1.6749291178847516,4.307539825817559e-06,1.7074506612505485,3.3823797791353,0.0017483358595470732
PSMA3-AS1,-0.963644452070068,4.717701256256583e-06,2.3298583184296318,3.2935027704996997,0.0018692206334610904
RP4-773N10.4,0.799743046749332,5.632670355554137e-06,1.9898640849443825,1.1901210381950504,0.002179843427599451
CTD-2382E5.6,-0.5853832407246324,6.471574823472455e-06,0.4989350950232197,1.084318335747852,0.0024047346121369067
TJP2,1.22867882981032,6.655944418776768e-06,3.2726729998831017,2.0439941700727817,0.0024047346121369067
IFIH1,1.4068894804880587,6.704017029240496e-06,4.808579400943561,3.4016899204555022,0.0024047346121369067
AVIL,1.316597861238232,6.8990096148774845e-06,1.768881169410323,0.45228330817209084,0.0024047346121369067
PRDM10,-0.5097552761618216,6.93631761207689e-06,0.9161906574808383,1.4259459336426599,0.0024047346121369067
FICD,0.7154000201611321,7.336651423983848e-06,2.2214839589237116,1.5060839387625795,0.002412542083788394
PDRG1,0.8140308714009712,7.371635233246538e-06,2.489507778584725,1.6754769071837536,0.002412542083788394
ADORA2A,2.2270836847387105,7.3937651747616185e-06,3.8671556136920535,1.640071928953343,0.002412542083788394
NUDT13,-0.5225130303107778,7.669522850170537e-06,0.19480299948498417,0.7173160297957619,0.0024543948028786134
TTC31,-1.2156966919116232,8.033752592837384e-06,1.2718358753214758,2.487532567233099,0.0024866547536134802
KCNE3,-1.7468192611351507,8.12185660201166e-06,1.6347306674171715,3.3815499285523223,0.0024866547536134802
STX11,1.6653436196434965,8.218617357655274e-06,4.4043027985502725,2.738959178906776,0.0024866547536134802
KB-1460A1.5,0.8106390779465336,8.692691305464725e-06,1.419083033235467,0.6084439552889334,0.0025538588323779803
ZC3HAV1,1.771789826094479,8.747668616401952e-06,4.720427504892468,2.948637678797989,0.0025538588323779803
COG3,0.5632988867984747,9.31702198217704e-06,3.0571628107293547,2.49386392393088,0.002616433264876011
KANSL1L,0.7594498553767814,9.52934527043674e-06,2.5724890320812115,1.81303917670443,0.002616433264876011
FAM98B,-0.5791868915298393,9.571146135462682e-06,0.9933507205131027,1.572537612042942,0.002616433264876011
RP5-850E9.3,-1.9890642529405413,9.759832301852693e-06,2.2226326658386624,4.211696918779204,0.002616433264876011
KLHL28,0.7955763768987723,1.0107716703167773e-05,3.3974074284242577,2.6018310515254854,0.002616433264876011
TRIT1,-0.6534639037558445,1.0158763707217409e-05,1.5746125493484058,2.2280764531042503,0.002616433264876011
SLC38A6,-1.244158673192143,1.0192819485164728e-05,3.647931235977141,4.892089909169284,0.002616433264876011
ZNF530,-0.33212182023455816,1.0241763674464256e-05,0.25999514483525543,0.5921169650698136,0.002616433264876011
SRXN1,-1.9854376681014028,1.0385525827818722e-05,2.2350354902719207,4.2204731583733235,0.002616433264876011
CLN8,-0.7267954057029775,1.0534284522966933e-05,2.618570376073135,3.3453657817761124,0.002616433264876011
DDX58,1.3076800448703865,1.0853492543494491e-05,3.6150815588159424,2.307401513945556,0.002647245708930048
DLGAP1-AS1,-0.6955522594337356,1.1081891519170026e-05,1.0241083590414082,1.7196606184751437,0.002647245708930048
AP3M2,-0.9114887414650892,1.113558077189492e-05,1.4090037683976289,2.320492509862718,0.002647245708930048
C20orf194,-0.621554663588813,1.1656909252623363e-05,3.0768925651386754,3.6984472287274883,0.002706389023691878
RYBP,1.0911160084931089,1.1868503441045327e-05,3.0329485304881127,1.941832521995004,0.002706389023691878
CTC-366B18.4,0.48808584654711795,1.1872267215281961e-05,0.8415377278647103,0.3534518813175923,0.002706389023691878
TNFRSF10B,1.3298764623376087,1.31074794559529e-05,5.047555949065693,3.717679486728084,0.0029471648198728076
TTLL4,-1.0420043547049462,1.3305890164891245e-05,2.7215985626231847,3.763602917328131,0.0029471648198728076
DENND5A,0.7449635008934221,1.3616228860063612e-05,5.246831007564921,4.501867506671499,0.0029471648198728076
HSCB,1.3627987837131883,1.3731891996014117e-05,2.875100251891383,1.5123014681781948,0.0029471648198728076
ATXN1,-0.48754837792380146,1.3956382464448929e-05,2.7081179693556985,3.1956663472795,0.0029471648198728076
IRF1,2.432080847440589,1.4115755849848474e-05,5.633438862561148,3.201358015120559,0.0029471648198728076
ZNF589,-1.721517702231318,1.427237018736689e-05,2.644908485639104,4.366426187870422,0.0029471648198728076
ABCC2,0.5467474685490012,1.4345312806303554e-05,0.7837821725444644,0.23703470399546317,0.0029471648198728076
CH17-76K2.6,1.394989006052511,1.4552240893733072e-05,1.5872677929984127,0.1922787869459018,0.0029532175696660007
LCOR,0.5670703226641454,1.4799094380919504e-05,2.777973208988402,2.2109028863242566,0.002967129272203391
RP11-295H24.4,0.6080769552114412,1.52111996347323e-05,1.0542989402654763,0.4462219850540351,0.0030134472990664307
MCPH1,0.6047976222547384,1.5471413298582622e-05,2.2884124225775446,1.6836148003228062,0.003028938690608393
IFIT2,4.0227867604440215,1.5959867403386006e-05,5.411421968594024,1.388635208150003,0.003063685121370661
CCDC117,0.8907100801373207,1.601710267166922e-05,3.4600175382872984,2.5693074581499777,0.003063685121370661
RP11-61N20.3,0.814728945780558,1.6354999936899212e-05,2.158763605618801,1.3440346598382429,0.0030901810449851055
LGR4,-0.8735927100116361,1.6677367807714376e-05,1.0675219329306898,1.9411146429423258,0.0030901810449851055
CTNND1,-0.37582577588295774,1.6712715224365093e-05,4.244265194061965,4.620090969944923,0.0030901810449851055
CSTF3,1.0680726714199738,1.7302942509674854e-05,3.116555201360591,2.048482529940617,0.0031593832257514783
CMPK2,1.7240261059830022,1.7545586031715934e-05,2.8269837868432597,1.1029576808602575,0.0031593832257514783
RN7SL124P,1.8151771513451749,1.7656549485901538e-05,2.2900841812254695,0.47490702988029476,0.0031593832257514783
RBL2,-1.2261990784871304,1.7959233287761943e-05,2.2464495814139154,3.4726486599010458,0.003170070458679222
JAK1,0.7689572124275008,1.8097271412446733e-05,5.935296344347117,5.166339131919616,0.003170070458679222
CCDC146,0.7702735708177845,1.945063426052579e-05,1.6999258952921763,0.9296523244743918,0.003338830687497205
NFKB1,0.7483980122588294,1.946196602891827e-05,5.244844615878693,4.496446603619864,0.003338830687497205
KRT18P4,0.7758038522028723,1.992011725898325e-05,1.1125982727231958,0.33679442052032343,0.0033793429957966778
DUSP28,0.558780251430764,2.0241216808774613e-05,1.3635938916093635,0.8048136401785995,0.0033793429957966778
EAF1,1.174701050629341,2.0448180713222206e-05,4.622255560524506,3.447554509895165,0.0033793429957966778
DCP1A,0.7393868949188485,2.0510404577577337e-05,3.201300941038535,2.4619140461196864,0.0033793429957966778
OTUD4P1,0.4067241835461113,2.092526075504511e-05,1.1728138007302473,0.766089617184136,0.003413894747301036
GCC1,0.5302130116009969,2.120251592311297e-05,3.0167948874442354,2.4865818758432385,0.0034255443444322613
HIVEP2,1.5509479092622949,2.175685410468072e-05,2.895493571490762,1.344545662228467,0.003481305857269152
RP11-867G2.4,1.494514409978191,2.2302454295726184e-05,2.014687905846693,0.5201734958685021,0.003534620399382661
PCMTD2,-0.8664803644469383,2.2695066138128284e-05,1.641868129102343,2.5083484935492812,0.003562911279288611
KIF5B,0.5048765081880484,2.358553329035192e-05,4.967183803193108,4.4623072950050595,0.0036471119999160187
RP11-329N15.3,1.473722825574917,2.3669737154674e-05,1.8770016842825084,0.40327885870759134,0.0036471119999160187
RNASE6,-3.130157862459919,2.403166238891142e-05,1.5659102884032408,4.69606815086316,0.0036689072826961
WTAP,1.0449610169927404,2.427044725312092e-05,4.9467510575652485,3.901790040572508,0.0036716773885380476
ZBTB10,1.8769196695177024,2.449849816905248e-05,3.624370184621914,1.7474505151042117,0.003672788360641462
ZMYND8,-1.092972533944267,2.503752909375534e-05,2.295484523493097,3.388457057437364,0.0037200850147248448
PIK3C2A,0.6176761890237383,2.558324755935756e-05,3.347692413306285,2.7300162242825468,0.0037675294038519397
PTGER4,0.9259079386182565,2.612433190573969e-05,4.9797296457543885,4.053821707136132,0.0037947404915942007
SPATA7,-0.8605200267221766,2.6423203028412666e-05,0.3928711868520691,1.2533912135742458,0.0037947404915942007
RP11-399O19.9,1.414970535544959,2.645213010185249e-05,1.8674905683879572,0.4525200328429982,0.0037947404915942007
EMILIN2,-0.8106010600058919,2.6939011366129914e-05,4.777142396374811,5.587743456380703,0.0038315563089210934
CDK14,1.0609910812297434,2.734297786114625e-05,4.291170746321432,3.230179665091689,0.0038560550388757183
SBDS,0.6261556698586781,2.9490563036263046e-05,3.7416227965583544,3.1154671266996763,0.004123970247785322
NMRAL2P,-1.058800801466747,3.0662918748758237e-05,0.5524017883625778,1.6112025898293247,0.004205563879232304
IL16,-1.2497789538824016,3.067563441572583e-05,0.7269665741815516,1.9767455280639532,0.004205563879232304
RC3H1,0.5963093140028568,3.106380787814983e-05,3.6668654374360323,3.0705561234331755,0.004205563879232304
SERPINI1,0.9409972721863462,3.108493222435992e-05,1.1057492419384878,0.16475196975214162,0.004205563879232304
SNHG15,1.3132836248547255,3.234116294455336e-05,3.0300003920572136,1.7167167672024881,0.004337019164643326
CXCL8,-1.7838909918610844,3.257781356771923e-05,6.4785011993991075,8.262392191260192,0.004337019164643326
RNF125,-0.8663449565440756,3.3301174846705967e-05,0.36094942313779577,1.2272943796818714,0.0043718443135399585
NAAA,-0.8583674930326199,3.370548983083749e-05,2.348022132638728,3.2063896256713478,0.0043718443135399585
NRDE2,-0.32600272262503716,3.3853838675026524e-05,0.5673251785874716,0.8933279012125087,0.0043718443135399585
POLR2A,1.54983711366657,3.3890265996433785e-05,5.162032250854597,3.6121951371880265,0.0043718443135399585
FAM107B,1.2280492730279216,3.458188898667015e-05,4.712915972250919,3.484866699222997,0.004395382221679916
CHKB-CPT1B,0.5408866561263617,3.4616008409060634e-05,2.7853774336880157,2.244490777561654,0.004395382221679916
