symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
LRP11,LDL receptor related protein 11,-1.0124785706770292,542.0942907862714,-4.189931996779483,2.7903806733217955e-05,0.00155003156552,False,False,False
SNHG25,small nucleolar RNA host gene 25,1.3969930795084546,153.00045992282034,4.183183618509597,2.87455033589078e-05,0.0015844169016139,False,False,False
MX1,MX dynamin like GTPase 1,4.824786040089345,121.1581877203852,4.150889390663809,3.311857994477277e-05,0.0017831686910927,True,False,True
NANP,N-acetylneuraminic acid phosphatase,-1.1155846335598354,497.11325824941406,-4.14579289056044,3.386398195792555e-05,0.0017976651086594,False,False,False
C19orf33,chromosome 19 open reading frame 33,1.1322326920031254,878.5220327730042,4.12979966523253,3.630794747161954e-05,0.0019132825359953,False,False,False
AKAP17A,A-kinase anchoring protein 17A,1.3133820115226775,523.093983057845,4.123182439196961,3.736735013175742e-05,0.0019547879963471,False,False,False
GOLGB1,golgin B1,1.1258707567073254,4742.635634908296,4.121802540793799,3.759193601441901e-05,0.0019582065368626,False,False,False
SOCS2,suppressor of cytokine signaling 2,2.9309511535968595,46.25935662410641,4.120186097275194,3.7856650606245966e-05,0.0019582065368626,False,False,False
SERINC2,serine incorporator 2,-1.0953068533092971,571.664058618722,-4.119909029021186,3.790220157522412e-05,0.0019582065368626,False,False,False
ERF,ETS2 repressor factor,-2.041889257307824,53.42532963000399,-4.114130215214826,3.886420167259829e-05,0.0019967871616499,False,False,False
CXCL3,C-X-C motif chemokine ligand 3,3.228214137883368,314.6686642979154,4.110479389405214,3.9483852438942426e-05,0.0020109678716172,False,False,False
NRP2,neuropilin 2,1.6168816964940038,227.66306449388787,4.1049500220177935,4.044023001314413e-05,0.0020484970034122,False,False,False
CLDN12,claudin 12,-1.2468111915644735,538.2087240521008,-4.094691539774148,4.227308146516876e-05,0.0021327337296956,False,False,False
CHAC2,ChaC glutathione specific gamma-glutamylcyclotransferase 2,-1.0037933865888695,645.9427519713856,-4.093998619408303,4.2399683490404206e-05,0.0021327337296956,False,False,False
ZNF165,zinc finger protein 165,1.8158874204712132,212.1101144995717,4.091256492946484,4.290422881847402e-05,0.0021505931560368,False,False,False
LTB4R,leukotriene B4 receptor,1.5670605140173766,106.67390789905436,4.088351787226992,4.344489814505804e-05,0.0021701330024819,False,False,False
SLC25A40,solute carrier family 25 member 40,-1.1513005343058371,274.2466268976537,-4.075719556273036,4.587227699407813e-05,0.0022677614324288,False,False,False
ADH6,alcohol dehydrogenase 6 (class V),-1.123713046481493,433.71044697043794,-4.076364750299689,4.574524290510483e-05,0.0022677614324288,False,False,False
IGFBP3,insulin like growth factor binding protein 3,-1.0438990913720474,340.91564923192743,-4.0747841659778015,4.6057042872167015e-05,0.0022690980094486,False,False,False
