symbol,sample_1,sample_2,value_1,value_2,log2FoldChange,pvalue,sig_flag,padj
MPP6,Mock,ZIKV,5.28431,3.68419,-0.520368,0.00115,yes,0.00115
FKBP1A,Mock,ZIKV,67.8438,47.3013,-0.520338,5e-05,yes,5e-05
LOC100128682,Mock,ZIKV,0.00505212,0.00352244,-0.520315,1.0,no,1.0
SCN1A,Mock,ZIKV,0.516567,0.360214,-0.520101,1.0,no,1.0
EPHX3,Mock,ZIKV,0.0746923,0.052103,-0.519592,1.0,no,1.0
CPS1,Mock,ZIKV,2.68137,1.87091,-0.519229,0.0004,yes,0.0004
GPC2,Mock,ZIKV,153.057,106.804,-0.519104,5e-05,yes,5e-05
NABP2,Mock,ZIKV,26.7924,18.7015,-0.51867,5e-05,yes,5e-05
PRRG3,Mock,ZIKV,1.17606,0.82092,-0.518649,0.12585,no,0.12585
PAQR5,Mock,ZIKV,0.213465,0.149011,-0.518584,1.0,no,1.0
UACA,Mock,ZIKV,5.84273,4.07856,-0.518582,5e-05,yes,5e-05
PDIA3P,Mock,ZIKV,1.59079,1.11068,-0.518305,0.03635,no,0.03635
LOC202181,Mock,ZIKV,8.27544,5.77811,-0.518239,5e-05,yes,5e-05
LAMA1,Mock,ZIKV,7.4733,5.2186,-0.518082,5e-05,yes,5e-05
HCFC1,Mock,ZIKV,27.5222,19.221,-0.517911,5e-05,yes,5e-05
FABP5,Mock,ZIKV,67.3743,47.0551,-0.517849,5e-05,yes,5e-05
NAB1,Mock,ZIKV,15.6512,10.9343,-0.517409,5e-05,yes,5e-05
CTDSPL,Mock,ZIKV,3.9543,2.76301,-0.517183,0.0002,yes,0.0002
ZNF76,Mock,ZIKV,18.0624,12.6232,-0.51691,5e-05,yes,5e-05
CENPV,Mock,ZIKV,104.361,72.9419,-0.51676,5e-05,yes,5e-05
ZDHHC14,Mock,ZIKV,2.06421,1.4435,-0.516018,0.0105,yes,0.0105
RBM45,Mock,ZIKV,7.2105,5.04239,-0.515993,0.00095,yes,0.00095
SNORA5A,Mock,ZIKV,6.79862,4.75443,-0.515969,0.8008,no,0.8008
SCGN,Mock,ZIKV,0.364264,0.254738,-0.515966,1.0,no,1.0
PRDM10,Mock,ZIKV,4.90588,3.43119,-0.515802,5e-05,yes,5e-05
DCTN6,Mock,ZIKV,31.6873,22.1678,-0.515436,0.217,no,0.217
RBFA,Mock,ZIKV,4.70312,3.29084,-0.515161,5e-05,yes,5e-05
ANP32A,Mock,ZIKV,98.9146,69.2221,-0.51495,5e-05,yes,5e-05
LOC100505761,Mock,ZIKV,1.08567,0.759792,-0.514909,0.1994,no,0.1994
CCDC159,Mock,ZIKV,4.45755,3.11988,-0.514761,0.02165,yes,0.02165
RPL36A-HNRNPH2,Mock,ZIKV,47.5481,33.2824,-0.51463,0.07105,no,0.07105
LOC643406,Mock,ZIKV,2.31019,1.61758,-0.514176,0.00645,yes,0.00645
MAP3K13,Mock,ZIKV,22.6337,15.8507,-0.513929,0.0006,yes,0.0006
LOC441454,Mock,ZIKV,2.0735,1.45235,-0.51368,0.0564,no,0.0564
DNAJC30,Mock,ZIKV,3.28941,2.30466,-0.513275,0.0039,yes,0.0039
LINC00578,Mock,ZIKV,0.0295335,0.0206946,-0.513097,1.0,no,1.0
DFNA5,Mock,ZIKV,8.92581,6.25609,-0.512723,0.0001,yes,0.0001
ARHGEF15,Mock,ZIKV,0.0396457,0.0277893,-0.512631,1.0,no,1.0
VSTM5,Mock,ZIKV,0.277622,0.194603,-0.512591,1.0,no,1.0
TMEM186,Mock,ZIKV,5.93595,4.16098,-0.512556,0.00405,yes,0.00405
DPYSL4,Mock,ZIKV,71.9687,50.4537,-0.51241,5e-05,yes,5e-05
ZBTB14,Mock,ZIKV,6.79619,4.76467,-0.512348,0.0001,yes,0.0001
MAMDC2,Mock,ZIKV,9.02767,6.33009,-0.512128,5e-05,yes,5e-05
SEC16B,Mock,ZIKV,0.121136,0.0849504,-0.51193,1.0,no,1.0
LYRM7,Mock,ZIKV,4.21741,2.95779,-0.511839,5e-05,yes,5e-05
TOR3A,Mock,ZIKV,14.2266,9.97755,-0.511833,0.0001,yes,0.0001
PARVB,Mock,ZIKV,0.408828,0.286769,-0.511603,1.0,no,1.0
SLC24A1,Mock,ZIKV,1.10565,0.775566,-0.511575,0.0086,yes,0.0086
C17orf70,Mock,ZIKV,18.9532,13.295,-0.511558,5e-05,yes,5e-05
LINC00507,Mock,ZIKV,0.405774,0.284672,-0.511374,1.0,no,1.0
